transformer_id,h2,ch4,c2h4,c2h6,c2h2,co,co2,o2,n2,original_fault,iec_fault,iec_code,ratio_c2h2_c2h4,ratio_ch4_h2,ratio_c2h4_c2h6,is_abnormal
1,0,6,2,2,0,,,,,No Fault,Normal,,,,,0
2,0,25,13,9,0,,,,,No Fault,Normal,,0.0,,1.4444,0
3,0,35,37,31,0,,,,,No Fault,Normal,,0.0,,1.1935,0
4,0,44,28,85,0,,,,,No Fault,异常-未明类,,0.0,,0.3294,1
5,251,139,256,123,1064,,,,,Electrical Fault,低能放电,2-0-1,4.1562,0.5538,2.0813,1
6,33,4,21,20,0.001,154,,,,NA,Normal,0-0-1,0.0,0.1212,1.05,0
7,37,3,21,29,0.001,180,,,,NA,Normal,0-1-0,0.0,0.0811,0.7241,0
8,1176,3426,2931,1178,0.001,534,,,,NA,中温过热300~700℃,0-2-1,0.0,2.9133,2.4881,1
9,66,11,61,50,0.001,554,,,,NA,Normal,0-0-1,0.0,0.1667,1.22,0
10,34,11,21,1,0.001,121,,,,NA,Normal,0-0-2,0.0,0.3235,21.0,0
11,38,4,41,1,0.001,341,,,,NA,Normal,0-0-2,0.0,0.1053,41.0,0
12,31,5,62,2,0.001,420,,,,NA,Normal,0-0-2,0.0,0.1613,31.0,0
13,22,8,55,4,0.001,337,,,,NA,Normal,0-0-2,0.0,0.3636,13.75,0
14,7,12,107,6,0.001,565,,,,NA,Normal,0-2-2,0.0,1.7143,17.8333,0
15,31,25,81,3,0.001,462,,,,NA,Normal,0-0-2,0.0,0.8065,27.0,0
16,6,6,4,22,0.001,149,,,,NA,Normal,0-2-0,0.0003,1.0,0.1818,0
17,10,7,2,5,0,,,,,No Fault,Normal,0-0-0,0.0,0.7,0.4,0
18,13,11,3,26,0,,,,,No Fault,Normal,0-0-0,0.0,0.8462,0.1154,0
19,48,24,12,63,14,,,,,No Fault,电弧放电,1-0-0,1.1667,0.5,0.1905,1
20,335,246,1324,150,1123,,,,,Electrical Fault,电弧放电,1-0-2,0.8482,0.7343,8.8267,1
21,0,1,5,0,0,,,,,No Fault,Normal,,,,,0
22,0,7,11,14,0,,,,,No Fault,Normal,,0.0,,0.7857,0
23,0,64,150,99,0,,,,,No Fault,异常-未明类,,0.0,,1.5152,1
24,218,744,1743,264,7,,,,,Thermal Fault,高温过热>700℃,0-2-2,0.004,3.4128,6.6023,1
25,5,44,4,9,0,,,,,No Fault,Normal,0-2-0,0.0,8.8,0.4444,0
26,6,42,10,9,0,,,,,No Fault,Normal,0-2-1,0.0,7.0,1.1111,0
27,6,44,12,10,0,,,,,No Fault,Normal,0-2-1,0.0,7.3333,1.2,0
28,7,56,12,10,0,,,,,No Fault,Normal,0-2-1,0.0,8.0,1.2,0
29,628,1381,1873,351,2.8,,,,,Thermal Fault,高温过热>700℃,0-2-2,0.0015,2.199,5.3362,1
30,5,3,1,2,0,,,0.2,0.2,NA,Normal,,,,,0
31,9,19,13,2,10,,,0.2,0.2,NA,电弧放电兼过热,1-2-2,0.7692,2.1111,6.5,1
32,7,31,1,1,1,,,0.2,0.2,NA,Normal,1-2-1,1.0,4.4286,1.0,0
33,8,9,12,0,1,,,0.2,0.2,NA,Normal,,0.0833,1.125,,0
34,9,13,25,4,2,,,0.2,0.2,NA,Normal,0-2-2,0.08,1.4444,6.25,0
