transformer_id,date,h2,ch4,c2h4,c2h6,c2h2,co,co2,oil_temp,load_current,ambient_temp,fault_state,total_hydrocarbon,ratio_ch4_h2,ratio_c2h2_c2h4,ratio_c2h4_c2h6,h2_roll7_mean,h2_roll7_std,h2_roll7_max,h2_roll7_min,ch4_roll7_mean,ch4_roll7_std,ch4_roll7_max,ch4_roll7_min,c2h4_roll7_mean,c2h4_roll7_std,c2h4_roll7_max,c2h4_roll7_min,c2h6_roll7_mean,c2h6_roll7_std,c2h6_roll7_max,c2h6_roll7_min,c2h2_roll7_mean,c2h2_roll7_std,c2h2_roll7_max,c2h2_roll7_min,co_roll7_mean,co_roll7_std,co_roll7_max,co_roll7_min,co2_roll7_mean,co2_roll7_std,co2_roll7_max,co2_roll7_min,h2_rate,h2_rate_pct,ch4_rate,ch4_rate_pct,c2h4_rate,c2h4_rate_pct,c2h6_rate,c2h6_rate_pct,c2h2_rate,c2h2_rate_pct,co_rate,co_rate_pct,co2_rate,co2_rate_pct,oil_temp_rate,total_hydrocarbon_rate
1,2024-04-01,1.641,3.079,1.881,41.141,0.0,157.431,709.323,35.85,191.75,1.92,Normal,46.101,1.8762949421084705,0.0,0.045720813786733434,1.641,0.0,1.641,1.641,3.079,0.0,3.079,3.079,1.881,0.0,1.881,1.881,41.141,0.0,41.141,41.141,0.0,0.0,0.0,0.0,157.431,0.0,157.431,157.431,709.323,0.0,709.323,709.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-04-02,2.118,1.237,0.838,37.195,0.0,239.624,642.725,30.76,188.39,-3.43,Normal,39.27,0.5840415486307838,0.0,0.02252990993413093,1.8795,0.33728993462598306,2.118,1.641,2.1580000000000004,1.3024906909456206,3.079,1.237,1.3595,0.7375123727775691,1.881,0.838,39.168,2.790243358562115,41.141,37.195,0.0,0.0,0.0,0.0,198.5275,58.11922766606589,239.624,157.431,676.024,47.09189741346166,709.323,642.725,0.47699999999999987,29.067641681901275,-1.842,-59.82461838259175,-1.0430000000000001,-55.44922913343967,-3.945999999999998,-9.591405167594367,0.0,0.0,82.19299999999998,52.20890421835597,-66.59799999999996,-9.388952564628521,-5.09,-6.830999999999996
1,2024-04-03,0.853,1.356,0.752,38.323,0.0,299.234,731.577,34.56,199.07,1.4,Normal,40.431,1.58968347010551,0.0,0.019622680896589514,1.5373333333333334,0.6388398338655263,2.118,0.853,1.890666666666667,1.0308454459002736,3.079,1.237,1.157,0.6284751387286533,1.881,0.752,38.88633333333333,2.032421544201234,41.141,37.195,0.0,0.0,0.0,0.0,232.09633333333332,71.20057602529162,299.234,157.431,694.5416666666666,46.23348718551666,731.577,642.725,-1.265,-59.7261567516525,0.119,9.62004850444624,-0.08599999999999997,-10.262529832935558,1.1280000000000001,3.032665680871085,0.0,0.0,59.609999999999985,24.876473141254625,88.85199999999998,13.82426387646349,3.8000000000000007,1.1609999999999943
1,2024-04-04,0.546,1.77,1.607,65.771,0.0,227.501,601.24,31.03,188.83,-0.08,Normal,69.148,3.2417582417582413,0.0,0.024433260859649388,1.2894999999999999,0.7195575029141172,2.118,0.546,1.8605,0.8438414148009883,3.079,1.237,1.2694999999999999,0.5603085459518413,1.881,0.752,45.6075,13.544377074392655,65.771,37.195,0.0,0.0,0.0,0.0,230.9475,58.18041442788113,299.234,157.431,671.21625,60.01103072699771,731.577,601.24,-0.30699999999999994,-35.99062133645955,0.4139999999999999,30.530973451327426,0.855,113.6968085106383,27.448,71.62278527255174,0.0,0.0,-71.73299999999998,-23.972209040416523,-130.337,-17.815896344472282,-3.530000000000001,28.717
1,2024-04-05,3.216,0.624,1.136,88.489,0.0,222.614,664.067,35.75,201.8,-0.58,Normal,90.24900000000001,0.19402985074626863,0.0,0.01283775384511069,1.6748,1.0632980297169747,3.216,0.546,1.6132000000000002,0.9164265928049012,3.079,0.624,1.2428,0.4889005011247176,1.881,0.752,54.1838,22.480040507080943,88.489,37.195,0.0,0.0,0.0,0.0,229.2808,50.52336005948139,299.234,157.431,669.7864,52.06933081767037,731.577,601.24,2.67,489.01098901098896,-1.146,-64.7457627118644,-0.4710000000000001,-29.309271935283142,22.718000000000004,34.54105912940354,0.0,0.0,-4.8870000000000005,-2.148122425835491,62.827,10.449570886833877,4.719999999999999,21.101000000000013
1,2024-04-06,9.957,0.464,2.921,36.318,0.0,157.112,706.974,32.04,145.2,0.09,Normal,39.702999999999996,0.046600381641056544,0.0,0.08042843768930007,3.055166666666667,3.512400171772384,9.957,0.546,1.4216666666666669,0.9444470692773984,3.079,0.464,1.5225,0.8127801055636142,2.921,0.752,51.20616666666667,21.38877225477579,88.489,36.318,0.0,0.0,0.0,0.0,217.25266666666667,53.94574939943523,299.234,157.112,675.9843333333333,48.98426721986015,731.577,601.24,6.7410000000000005,209.6082089552239,-0.15999999999999998,-25.64102564102564,1.785,157.13028169014086,-52.17100000000001,-58.957610550463905,0.0,0.0,-65.50200000000001,-29.42402544314374,42.90700000000004,6.461245627323755,-3.710000000000001,-50.546000000000014
1,2024-04-07,15.301,0.346,3.477,59.299,0.0,178.71,735.594,33.34,142.66,2.19,Normal,63.122,0.022612901117574014,0.0,0.058635052867670616,4.804571428571429,5.630605203029329,15.301,0.546,1.2680000000000002,0.9532108895727117,3.079,0.346,1.8017142857142858,1.0470118933239987,3.477,0.752,52.36228571428571,19.763331219831386,88.489,36.318,0.0,0.0,0.0,0.0,211.74657142857146,51.35503375475846,299.234,157.112,684.5,50.07159621315595,735.594,601.24,5.343999999999999,53.67078437280305,-0.11800000000000005,-25.43103448275863,0.556,19.034577199589183,22.981,63.27716283936341,0.0,0.0,21.598000000000013,13.74688120576405,28.620000000000005,4.048239397771347,1.3000000000000043,23.419000000000004
1,2024-04-08,7.691,0.0,9.747,17.683,0.0,186.212,676.066,32.53,180.73,-0.55,Normal,27.43,0.0,0.0,0.5512073743143132,5.668857142857143,5.527456420107759,15.301,0.546,0.8281428571428571,0.6357998711784052,1.77,0.0,2.9254285714285717,3.184848131237598,9.747,0.752,49.01114285714285,23.59964710490796,88.489,17.683,0.0,0.0,0.0,0.0,215.85814285714287,47.27144108383895,299.234,157.112,679.749,48.88751630699464,735.594,601.24,-7.61,-49.73531141755441,-0.346,-100.0,6.27,180.327868852459,-41.616,-70.1799355807012,0.0,0.0,7.501999999999981,4.197862458732013,-59.52800000000002,-8.092507551720109,-0.8100000000000023,-35.692
1,2024-04-09,6.182,0.077,10.814,6.628,0.0,233.393,525.657,36.81,195.4,-1.25,Normal,17.519,0.012455516014234875,0.0,1.6315630657815328,6.249428571428572,5.301130912586574,15.301,0.546,0.6624285714285715,0.6621016682108719,1.77,0.0,4.3505714285714285,4.173617969146308,10.814,0.752,44.64442857142857,28.47482008053866,88.489,6.628,0.0,0.0,0.0,0.0,214.968,46.80570410751236,299.234,157.112,663.025,76.10919585262566,735.594,525.657,-1.5089999999999995,-19.62033545702769,0.077,0.0,1.0670000000000002,10.946958038370783,-11.055,-62.517672340666174,0.0,0.0,47.18100000000001,25.33725001611068,-150.409,-22.247679960240564,4.280000000000001,-9.911000000000001
1,2024-04-10,3.252,0.0,5.227,13.268,0.746,111.148,446.942,34.57,195.52,-0.07,Normal,19.241,0.0,0.14272048976468338,0.39395538136870667,6.592142857142856,4.960727414018077,15.301,0.546,0.4687142857142857,0.6225438978593439,1.77,0.0,4.989857142857143,3.861608664299177,10.814,1.136,41.06514285714286,30.875376054004438,88.489,6.628,0.10657142857142857,0.28196149686488353,0.746,0.0,188.09857142857143,44.28828649450156,233.393,111.148,622.3628571428571,104.22273849218087,735.594,446.942,-2.9300000000000006,-47.39566483338726,-0.077,-100.0,-5.587,-51.6645089698539,6.640000000000001,100.18105009052505,0.746,0.0,-122.245,-52.377320656574966,-78.71500000000003,-14.974593698932958,-2.240000000000002,1.7220000000000013
