transformer_id,date,h2,ch4,c2h4,c2h6,c2h2,co,co2,oil_temp,load_current,ambient_temp,fault_state
1,2024-04-01,1.641,3.079,1.881,41.141,0.0,157.431,709.323,35.85,191.75,1.92,Normal
1,2024-04-02,2.118,1.237,0.838,37.195,0.0,239.624,642.725,30.76,188.39,-3.43,Normal
1,2024-04-03,0.853,1.356,0.752,38.323,0.0,299.234,731.577,34.56,199.07,1.4,Normal
1,2024-04-04,0.546,1.77,1.607,65.771,0.0,227.501,601.24,28.3,132.18,-0.08,Normal
1,2024-04-05,3.216,0.624,1.136,88.489,0.0,222.614,664.067,32.63,141.26,-0.58,Normal
1,2024-04-06,9.957,0.464,2.921,36.318,0.0,157.112,706.974,35.33,207.43,0.09,Normal
1,2024-04-07,15.301,0.346,3.477,59.299,0.0,178.71,735.594,36.52,203.8,2.19,Normal
1,2024-04-08,7.691,0.0,9.747,17.683,0.0,186.212,676.066,32.53,180.73,-0.55,Normal
1,2024-04-09,6.182,0.077,10.814,6.628,0.0,233.393,525.657,36.81,195.4,-1.25,Normal
1,2024-04-10,3.252,0.0,5.227,13.268,0.746,111.148,446.942,34.57,195.52,-0.07,Normal
1,2024-04-11,3.538,1.003,2.254,14.437,0.867,247.29,230.981,35.08,141.08,1.98,Normal
1,2024-04-12,4.987,2.079,3.518,11.742,0.564,319.23,193.745,32.29,145.43,0.6,Normal
1,2024-04-13,3.282,4.837,3.174,8.283,0.798,363.006,280.206,35.02,207.19,-1.38,Normal
1,2024-04-14,4.669,3.503,2.192,21.255,0.057,430.647,356.522,36.54,190.29,-0.64,Normal
1,2024-04-15,10.029,1.164,2.582,25.063,0.0,542.328,493.479,34.02,201.49,-1.93,Normal
1,2024-04-16,4.127,2.344,3.453,16.476,0.741,460.527,661.865,34.03,199.83,-1.9,Normal
1,2024-04-17,5.735,0.588,4.602,15.994,0.563,880.579,646.362,36.92,192.38,4.6,Normal
1,2024-04-18,4.087,1.006,6.681,26.48,0.719,959.703,616.914,28.46,130.4,0.62,Normal
1,2024-04-19,1.364,0.848,16.77,46.349,0.0,860.667,1939.634,34.26,141.81,4.44,Thermal Fault 150-300℃
