transformer_id,date,h2,ch4,c2h4,c2h6,c2h2,co,co2,fault_state
1,2024-04-01,0.935,22.245,9.173,7.916,0.0,119.586,1536.766,Normal
1,2024-04-02,1.821,33.623,13.942,11.723,0.034,196.212,888.48,Normal
1,2024-04-03,1.648,30.897,11.514,9.598,0.176,147.566,1145.342,Normal
1,2024-04-04,1.311,29.935,12.035,10.517,0.008,352.856,1095.138,Normal
1,2024-04-05,1.329,26.222,10.856,10.36,0.0,102.739,986.202,Normal
1,2024-04-06,1.677,34.289,13.436,10.086,0.13,184.922,1337.551,Normal
1,2024-04-07,1.674,31.549,12.702,10.856,0.089,197.431,797.676,Normal
1,2024-04-08,1.316,27.227,10.078,9.113,0.072,114.411,1711.082,Normal
1,2024-04-09,1.021,25.334,10.378,9.436,0.0,230.148,1026.621,Normal
1,2024-04-10,1.407,31.806,11.949,8.906,0.0,108.841,1431.256,Normal
1,2024-04-11,1.501,31.474,11.724,10.804,0.089,157.124,1324.611,Normal
1,2024-04-12,1.252,26.737,10.305,8.138,0.0,137.93,1192.146,Normal
1,2024-04-13,1.64,32.764,13.249,10.932,0.032,162.616,766.694,Normal
1,2024-04-14,1.026,22.694,8.384,8.625,0.0,141.504,1887.108,Normal
1,2024-04-15,1.437,32.431,11.704,10.097,0.0,147.536,1391.155,Normal
1,2024-04-16,0.99,26.184,10.725,8.448,0.0,169.34,1018.676,Normal
1,2024-04-17,1.626,30.983,13.499,10.371,0.021,171.131,1329.387,Normal
1,2024-04-18,1.847,35.482,13.389,13.187,0.0,127.613,922.702,Normal
1,2024-04-19,1.268,24.287,10.271,8.474,0.0,118.381,1390.884,Normal
1,2024-04-20,1.753,39.699,18.27,12.706,0.159,80.678,1265.433,Normal
1,2024-04-21,1.169,25.068,9.092,8.651,0.0,196.829,1148.37,Normal
1,2024-04-22,1.214,23.992,9.457,8.782,0.041,163.19,1597.136,Normal
1,2024-04-23,1.353,26.505,9.725,8.661,0.107,120.764,1437.651,Normal
1,2024-04-24,1.214,30.594,12.379,9.906,0.0,136.103,1319.583,Normal
1,2024-04-25,1.366,25.243,8.971,9.27,0.045,177.547,1151.244,Normal
1,2024-04-26,1.553,35.308,13.835,10.545,0.175,185.23,1855.417,Normal
1,2024-04-27,1.484,25.876,9.099,11.141,0.033,147.957,1000.694,Normal
1,2024-04-28,1.915,30.982,11.348,10.999,0.0,164.66,1201.99,Normal
1,2024-04-29,1.464,34.367,13.225,11.425,0.0,158.697,963.081,Normal
1,2024-04-30,1.111,23.888,9.33,9.389,0.0,164.446,1110.034,Normal
1,2024-05-01,1.425,32.982,13.209,11.872,0.039,126.088,1158.129,Normal
1,2024-05-02,1.527,30.04,10.535,9.937,0.0,415.921,2033.326,Normal
1,2024-05-03,1.196,26.748,9.559,8.664,0.0,205.833,894.274,Normal
1,2024-05-04,1.313,23.395,9.517,7.977,0.0,113.013,1252.672,Normal
1,2024-05-05,1.003,23.341,11.242,7.632,0.0,334.015,2647.396,Normal
